BD,IDMAP,IPCA,LAMP,LMDS,MDS,PBC,TSNE,UMAP
data_k2d24n11,0.7421325648003834,0.7892793362279452,0.7878940097965726,0.7924920458183532,0.7460065319108431,0.6400610388009726,0.7116312106550289,0.683712159764658
data_k2d24n12,0.7695383773318853,0.7935735562666069,0.7922232357647278,0.794100211764446,0.7628789883190965,0.688750277918601,0.7279407562388716,0.7187036454112163
data_k2d24n13,0.7519982982871934,0.8021734024977707,0.797898835435522,0.8008726961738096,0.7551873821478364,0.6980730049263422,0.7290622296929176,0.6992729405525171
data_k2d24n14,0.7652780058632207,0.7905632151459818,0.789698441177257,0.791388201163095,0.7624648437374552,0.6619226336595455,0.7293577787495744,0.7178297083343017
data_k2d24n15,0.7594752647030832,0.8012813129680982,0.7983769510299407,0.801861116851109,0.7547890534557782,0.6483647538429993,0.7222367086600261,0.694779862614899
data_k4d22n11,0.7822583733490147,0.7919019635312106,0.7818696073965252,0.8107053863804324,0.7830493515562964,0.7717713141546814,0.6507879517619815,0.7683431075635754
data_k4d22n12,0.7752600460985584,0.8001587461304338,0.7946485743611506,0.8011542073581479,0.7829179839701818,0.7440449624977059,0.6912305425975853,0.7353288377368761
data_k4d22n13,0.7826813486541053,0.8184252887746926,0.8001803889505572,0.8161491284450033,0.7865199046360525,0.7611345891985788,0.7061940000397782,0.7825132338907673
data_k4d22n14,0.7898370802393508,0.7972513384382008,0.7932001111700148,0.7984041084264586,0.7901474609583351,0.7589443559812514,0.6998606375336613,0.7513641467498668
data_k4d22n15,0.7867921410091905,0.7861204539578545,0.7869770426548043,0.8026239583093819,0.786571181290794,0.760862657572799,0.7370662798774007,0.7614311573657455
data_k4d23n11,0.7898398848574256,0.7955807119349155,0.7862775833635087,0.8064753201106939,0.7871354648951118,0.7398007980387501,0.718417139653149,0.7358862876017437
data_k4d23n12,0.7934285045064853,0.8105106202371785,0.803688095204727,0.8135142300443021,0.7885134683574335,0.7852213222212107,0.6743571226663259,0.7892398539351164
data_k4d23n13,0.790417123985948,0.8133019991488165,0.7998331182604013,0.8117584887332715,0.7880365953090726,0.7499678304052014,0.6756825008045875,0.733936283401331
